"","year","month","date","home","away","h_points","a_points","winner","winning_margin","win_status","h_fg","a_fg","h_fga","a_fga","h_3p","a_3p","h_3pa","a_3pa","h_ft","a_ft","h_fta","a_fta","h_orb","a_orb","h_drb","a_drb","h_trb","a_trb","h_ast","a_ast","h_stl","a_stl","h_blk","a_blk","h_tov","a_tov","h_pf","a_pf","h_tsp","a_tsp","h_efgp","a_efgp","h_ortg","a_ortg","h_drtg","a_drtg"
"1",2016,10,25," POR"," UTA",113,104," POR",9,"Home",39,40,75,82,13,8,19,24,22,16,22,16,5,6,29,25,34,31,22,19,5,9,3,5,12,11,18,19,0.667,0.584,0.607,0.537,124.8,114.9,114.9,124.8
"2",2016,10,25," GSW"," SAS",100,129," SAS",29,"Away",40,47,85,98,7,12,33,24,13,23,18,26,8,21,27,34,35,55,24,25,11,13,6,3,16,13,19,19,0.538,0.589,0.512,0.541,101.8,131.3,131.3,101.8
"3",2016,10,26," ORL"," MIA",96,108," MIA",12,"Away",34,47,89,97,6,4,18,16,22,10,28,16,15,16,30,36,45,52,20,27,5,5,4,7,11,10,15,22,0.474,0.519,0.416,0.505,101.8,114.5,114.5,101.8
"4",2016,10,26," BOS"," BRK",122,117," BOS",5,"Home",48,43,89,97,11,15,32,44,15,16,18,20,12,15,35,29,47,44,36,22,13,8,9,3,19,16,20,19,0.629,0.553,0.601,0.521,118.4,113.6,113.6,118.4
"5",2016,10,26," MIL"," CHO",96,107," CHO",11,"Away",39,40,92,89,3,7,16,23,15,20,20,24,10,11,36,40,46,51,23,27,4,5,5,10,8,10,22,22,0.476,0.537,0.44,0.489,99.5,110.9,110.9,99.5
"6",2016,10,26," NOP"," DEN",102,107," DEN",5,"Away",38,37,92,83,3,8,19,24,23,25,26,33,5,11,28,47,33,58,31,18,16,7,5,4,11,24,29,22,0.493,0.549,0.429,0.494,95.3,99.9,99.9,95.3
"7",2016,10,26," MEM"," MIN",102,98," MEM",4,"Home",36,36,80,86,11,6,24,18,19,20,27,29,11,15,34,30,45,45,19,20,6,6,11,5,13,10,25,23,0.555,0.496,0.519,0.453,111.8,107.5,107.5,111.8
"8",2016,10,26," PHI"," OKC",97,103," OKC",6,"Away",36,39,84,94,7,6,24,22,18,19,25,26,5,13,38,40,43,53,21,19,5,7,10,3,13,10,22,23,0.511,0.488,0.47,0.447,96.7,102.6,102.6,96.7
"9",2016,10,26," PHO"," SAC",94,113," SAC",19,"Away",36,44,77,86,4,6,16,21,18,19,27,26,10,10,31,31,41,41,20,24,6,5,3,5,18,13,29,20,0.529,0.58,0.494,0.547,97.1,116.8,116.8,97.1
"10",2016,10,26," LAL"," HOU",120,114," LAL",6,"Home",45,44,89,86,12,7,35,29,18,19,22,27,11,10,28,29,39,39,21,29,10,10,4,1,15,14,24,23,0.608,0.582,0.573,0.552,120.7,114.7,114.7,120.7
"11",2016,10,27," CHI"," BOS",105,99," CHI",6,"Home",36,38,92,76,11,8,25,23,22,15,30,24,18,3,37,33,55,36,25,22,5,6,1,6,12,11,21,25,0.499,0.572,0.451,0.553,111.5,105.1,105.1,111.5
"12",2016,10,27," POR"," LAC",106,114," LAC",8,"Away",39,37,85,91,4,8,18,29,24,32,32,46,9,15,39,33,48,48,18,12,4,10,4,4,14,7,34,25,0.535,0.512,0.482,0.451,105.2,113.1,113.1,105.2
"13",2016,10,27," SAC"," SAS",94,102," SAS",8,"Away",28,36,70,79,6,6,20,18,32,24,38,27,6,9,34,31,40,40,22,23,7,10,0,8,15,9,21,26,0.542,0.561,0.443,0.494,103.2,112,112,103.2
